SP1,ABCC1
SP1,ACO1
SP1,ACVRL1
SP1,ADAM10
SP1,ADAM17
SP1,ADAM17
SP1,GRK2
SP1,AHR
SP1,ALOX15B
SP1,ALOX5
SP1,ALOX5
SP1,APAF1
SP1,APP
SP1,APP
SP1,ATF2
SP1,ATP2A2
SP1,ATP2A2
SP1,ATP2C1
SP1,B4GALT1
SP1,B4GALT5
SP1,BAX
SP1,BRD7
SP1,BRD7
SP1,CASP3
SP1,CAT
SP1,CBFB
SP1,CD1D
SP1,CD44
SP1,ADGRE5
SP1,CDKN1A
SP1,CDKN1A
SP1,CDKN1A
SP1,CDKN2B
SP1,CERS2
SP1,CIC
SP1,CREB1
SP1,CSNK2A1
SP1,CTSB
SP1,CTSL
SP1,CYP1B1
SP1,DDB1
SP1,DPYSL2
SP1,EGR1
SP1,EGR1
SP1,ELF4
SP1,FAS
SP1,FAS
SP1,FASLG
SP1,FASLG
SP1,FES
SP1,FMR1
SP1,FMR1
SP1,FOS
SP1,FXR2
SP1,GCLC
SP1,GM2A
SP1,HBEGF
SP1,HDAC4
SP1,HGF
SP1,ICAM1
SP1,INSR
SP1,INSR
SP1,IRF5
SP1,IRS2
SP1,IRS2
SP1,ITGA5
SP1,ITGAV
SP1,ITGAV
SP1,ITGB2
SP1,KCTD11
SP1,LDLR
SP1,LMO4
SP1,MAT2A
SP1,MAT2A
SP1,MAT2B
SP1,MCTS1
SP1,MDM2
SP1,MDM2
SP1,ME1
SP1,MMP14
SP1,MMP14
SP1,NF1
SP1,NFKB1
SP1,NFKB2
SP1,OAT
SP1,P2RX4
SP1,P4HA1
SP1,PDGFC
SP1,PLAA
SP1,PLAUR
SP1,PLAUR
SP1,POR
SP1,POR
SP1,POR
SP1,PRKCE
SP1,PRNP
SP1,PRNP
SP1,PSEN1
SP1,PTEN
SP1,PTGIR
SP1,PTGS2
SP1,PTGS2
SP1,RARA
SP1,RELA
SP1,RELA
SP1,SGPL1
SP1,SIRT1
SP1,SLC19A1
SP1,SLC29A1
SP1,SLC39A1
SP1,SLC4A2
SP1,SOD2
SP1,SOD2
SP1,SP3
SP1,SQSTM1
SP1,SRC
SP1,STK11
SP1,THBD
SP1,THBD
SP1,TIMP1
SP1,TIMP1
SP1,TIMP2
SP1,TMPO
SP1,USP7
SP1,UTRN
SP1,VDR
SP1,VEGFA
SP1,VEGFA
SP1,VEGFA
SP1,VIM
SP1,XIAP
SP1,YY1
SP2,MAT2A
SP3,ABCA1
SP3,ABCA1
SP3,ATP2A2
SP3,CDKN2B
SP3,ETF1
SP3,HBEGF
SP3,HDAC4
SP3,HGF
SP3,ITGAV
SP3,MAT2A
SP3,MSH6
SP3,NFKB1
SP3,PLAUR
SP3,RELA
SP3,TIMP2
SP3,UTRN
SP3,VEGFA
SP3,YY1
SPI1,BCL6
SPI1,BPI
SPI1,BTK
SPI1,CCL2
SPI1,CD163
SPI1,CD40
SPI1,CD68
SPI1,CLEC4G
SPI1,CSF3R
SPI1,CSF3R
SPI1,CTSK
SPI1,CTSS
SPI1,CYBB
SPI1,CYBB
SPI1,DAPK2
SPI1,ELANE
SPI1,ERAP2
SPI1,FCER1A
SPI1,FCER1A
SPI1,FCGR1A
SPI1,FES
SPI1,FLI1
SPI1,HCK
SPI1,IFIT3
SPI1,IL18
SPI1,IL1B
SPI1,IL1B
SPI1,ITGAM
SPI1,ITGAX
SPI1,ITGAX
SPI1,ITGB2
SPI1,ITGB2
SPI1,MNDA
SPI1,MSR1
SPI1,NCF2
SPI1,NCF2
SPI1,NSFL1C
SPI1,PTGIR
SPI1,RNASE2
SPI1,SCARB1
SPI1,SCARB2
SPI1,STAT3
SPI1,TLR4
SPI1,TLR4
SPI1,WAS
SPIB,CD40
SPIB,IRF7
SREBF1,HMOX1
SREBF1,LDLR
SREBF1,LDLR
SREBF2,FDFT1
SREBF2,FDPS
SREBF2,HMGCR
SREBF2,HMGCR
SREBF2,LDLR
SRF,SAMD4A
STAT1,APP
STAT1,CCL2
STAT1,CCR1
STAT1,CD40
STAT1,CD40LG
STAT1,CD86
STAT1,CDKN1A
STAT1,CIITA
STAT1,CIITA
STAT1,CTSB
STAT1,CTSL
STAT1,CXCL10
STAT1,CXCL10
STAT1,FAS
STAT1,FCGR1A
STAT1,HMOX1
STAT1,HSP90AA1
STAT1,ICAM1
STAT1,IFIT3
STAT1,IL1B
STAT1,IL27
STAT1,IRF1
STAT1,IRF1
STAT1,IRF1
STAT1,IRF7
STAT1,IRF8
STAT1,JAK2
STAT1,LY96
STAT1,MMP9
STAT1,MVP
STAT1,PLSCR1
STAT1,PML
STAT1,PML
STAT1,PPARA
STAT1,PRKCE
STAT1,PSMB9
STAT1,PTGS2
STAT1,PTGS2
STAT1,S100A10
STAT1,SMARCA4
STAT1,SOCS3
STAT1,STAT2
STAT1,STAT3
STAT1,TAP1
STAT1,TIMP1
STAT1,TNFSF13B
STAT1,TP53
STAT1,TP53
STAT1,UPP1
STAT1,XAF1
STAT2,CCL2
STAT2,IFIT3
STAT2,IRF1
STAT2,PML
STAT2,PTGS2
STAT2,RCAN1
STAT2,SCARB1
STAT2,SCARB2
STAT2,STAT1
STAT3,CCL2
STAT3,CD46
STAT3,CDKN1A
STAT3,CDKN1A
STAT3,CFLAR
STAT3,DNMT1
STAT3,DNMT1
STAT3,FAS
STAT3,FAS
STAT3,HIF1A
STAT3,HIF1A
STAT3,HP
STAT3,IRF1
STAT3,IRF1
STAT3,JAK2
STAT3,JAK2
STAT3,JUNB
STAT3,KLF11
STAT3,MMP14
STAT3,PTGS2
STAT3,PTGS2
STAT3,SOCS3
STAT3,SOCS3
STAT3,STAT1
STAT3,STK11
STAT3,VEGFA
STAT3,VEGFA
STAT3,VEGFA
STAT3,VEGFA
STAT5B,BCL2L1
STAT6,CD40
TAF1,SRC
TAL1,CD34
TAL1,EPOR
TAL1,ERG
TAL1,MYB
TAL1,MYCN
TBX21,CXCR3
TBX21,IFNG
TBX21,IFNG
TCF3,CR2
TCF4,CCND1
TCF4,CCND1
TCF4,CLEC4C
TCF4,CNTNAP2
TCF7L2,CTNNB1
TCF7L2,HECA
TFDP1,CDK1
TFDP1,MYBL2
TFDP1,NRIP1
TFDP1,PCNA
TFDP1,TYMS
TP53,CTNNB1
TP53,IER3
TP53,IPO7
TP53,MDM2
TP53,MDM2
TP53,MDM4
TP53,PLAGL1
TP53,TP53
TP53,TP53
TP53,TP53I3
TP53,TP53I3
TP53,TYMS
USF1,EXT1
USF1,NFKB1
USF1,SLC19A1
USF2,ASPH
USF2,FCER1A
USF2,MYH9
USF2,PF4
USF2,POU2F1
USF2,TGFB1
USF2,TGFB1
VDR,CD14
VDR,CDKN1A
VDR,PLD1
XBP1,ERN1
XBP1,HSPA5
XBP1,HSPA5
XBP1,PRNP
YBX1,CDC20
YBX1,CKS2
YBX1,E2F1
YBX1,FAS
YBX1,KPNA2
YBX1,TOP2A
YY1,APH1A
YY1,COX6A1
YY1,COX7C
YY1,CREBBP
YY1,CREBBP
YY1,CTCF
YY1,DEK
YY1,ERCC5
YY1,FAS
YY1,GNAS
YY1,HCFC1
YY1,HDAC2
YY1,LDLR
YY1,NF1
YY1,NR3C1
YY1,PCNA
YY1,PCNA
YY1,SAP30
YY1,TOP3A
YY1,TP53
YY1,TP53
YY1,TP53
ZEB1,AR
ZFHX3,CDKN1A
